0,Balbi_07,Balbi_09,Balbi_20,Morandini_etal
0.0,7.749676262163217,7.749676262163217,7.749676262163217,7.749676262163217
0.5,8.249676262163218,8.239722561524136,8.239722561524134,8.240013359953576
1.0,8.749676262163216,8.728052312374743,8.728052312374741,8.729212527416442
1.5,9.249676262163218,9.214677495159147,9.214677495159147,9.217280894137495
2.0,9.749676262163216,9.699610871064284,9.699610871064282,9.704225869553284
2.5,10.249676262163216,10.182865963729704,10.182865963729702,10.190055136753276
3.0,10.749676262163218,10.664457040859098,10.664457040859102,10.67477664632352
3.5,11.249676262163216,11.144399095760415,11.144399095760418,11.158398610235889
4.0,11.749676262163218,11.622707828840177,11.622707828840175,11.640929495787027
4.5,12.249676262163216,12.099399629076338,12.099399629076336,12.12237801959067
5.0,12.749676262163218,12.574491555492614,12.574491555492614,12.602753141626824
5.5,13.249676262163216,13.048001318655952,13.048001318655952,13.08206405935113
6.0,13.749676262163218,13.519947262217496,13.519947262217498,13.560320201867452
6.5,14.249676262163216,13.990348344516118,13.990348344516118,14.037531224166575
7.0,14.749676262163216,14.459224120262297,14.459224120262299,14.513707001433609
7.5,15.249676262163215,14.926594722318917,14.926594722318915,14.9888576234266
8.0,15.749676262163215,15.699699786407544,15.39248084359425,15.462993388928576
8.5,16.249676262163216,16.641510649212982,15.856903719061277,15.936124800275083
9.0,16.749676262163216,17.576581304708263,16.319885107916193,16.4082625579591
9.5,17.249676262163216,18.504632093030636,16.781447275887974,16.87941755531501
10.0,17.74967626216322,19.42540014068281,17.241612977709508,17.349600873283126
10.5,18.24967626216322,20.338639521120694,17.70040543975998,17.818823775256213
11.0,18.749676262163216,21.244121331898434,18.157848342886933,18.28709770200903
11.5,19.249676262163216,22.141633692223785,18.61396580541545,18.7544342667121
12.0,19.749676262163216,23.030981665278144,19.068782366351048,19.220845250030408
12.5,20.249676262163216,23.911987110067443,19.522322968781655,19.68634259530791
13.0,20.749676262163216,24.784488467893894,19.974612943483404,20.150938403838282
13.5,21.249676262163216,25.648340488775453,20.425677992733917,20.614644930222507
14.0,21.749676262163216,26.503413903295538,20.875544174335918,21.077474577813486
14.5,22.24967626216322,27.34959504544348,21.3242378858533,21.539439894247923
15.0,22.749676262163216,28.186785432013522,21.771785849060905,22.000553567065566
15.5,23.24967626216322,29.01490130407302,22.21821509460855,22.460828419415698
16.0,23.749676262163216,29.833873135896077,22.663552946899188,22.92027740585079
16.5,24.249676262163216,30.643645116594726,23.107827009180372,23.378913608206947
17.0,24.74967626216322,31.444174609473336,23.55106514884751,23.836750231570917
17.5,25.249676262163216,32.235431593890084,23.99329548295696,24.293800600333068
18.0,25.74967626216322,33.01739809413998,24.434546363946318,24.75007815432585
18.5,26.249676262163216,33.79006759958286,24.874846365558714,25.205596445047078
19.0,26.74967626216322,34.5534444799343,25.3142242689675,25.66036913196733
19.5,27.249676262163216,35.30754339932151,25.75270904909732,26.114409978920563
20.0,27.749676262163216,36.05238873238791,26.19032986113686,26.567732850577244
20.5,28.24967626216322,36.78801398541051,26.627116027238497,27.02035170899882
21.0,28.74967626216322,37.514461225080225,27.06309702339942,27.472280610272698
21.5,29.249676262163216,38.2317805172887,27.498302466518712,27.92353370122652
22.0,29.749676262163216,38.940029377969125,27.93276210162424,28.374125216220683
22.5,30.249676262163216,39.63927223775613,28.36650578926331,28.82406947401783
23.0,30.749676262163216,40.32957992196087,28.799563493050442,29.273380874728076
23.5,31.24967626216322,41.01102914710637,29.23196526736556,29.722073896828725
24.0,31.749676262163227,41.683702035032226,29.66374124519569,30.170163094257006
24.5,32.24967626216322,42.347685645360826,30.09492162611303,30.617663093574574
25.0,32.74967626216321,43.00307152691731,30.52553666438206,31.064588591202188
25.5,33.24967626216322,43.64995528851342,30.955616657188372,31.510954350723253
26.0,33.74967626216321,44.288436189340906,31.38519193298162,31.95677520025454
26.5,34.24967626216321,44.91861674907265,31.81429283992507,32.40206602988268
27.0,34.74967626216322,45.54060237763804,32.242949734444,32.8468417891648
27.5,35.24967626216322,46.154501024523846,32.67119296986523,33.29111748469165
28.0,35.74967626216322,46.760422847350405,33.09905288514027,33.73490817771166
28.5,36.24967626216322,47.3584798993862,33.526559793643955,34.17822898181424
29.0,36.74967626216323,47.94878583558918,33.95374397204135,34.621095060670626
29.5,37.24967626216322,48.53145563670105,34.3806356492148,35.06352162583055
30.0,37.74967626216321,49.106605350869096,34.807264995243806,35.50552393457309
